CustomerID,Recency,Frequency,Monetary,TotalItems,UniqueProducts,AvgPurchaseValue,AvgItemsPerPurchase,Cluster
12346.0,325,1,77183.6,74215,1,77183.6,74215.0,1
12347.0,1,7,4310.0,2458,103,615.7142857142857,351.1428571428572,0
12348.0,74,4,1797.24,2341,22,449.31,585.25,0
12349.0,18,1,1757.55,631,73,1757.55,631.0,0
12350.0,309,1,334.4,197,17,334.4,197.0,0
12352.0,35,8,2506.04,536,59,313.255,67.0,0
12353.0,203,1,89.0,20,4,89.0,20.0,0
12354.0,231,1,1079.4,530,58,1079.4,530.0,0
12355.0,213,1,459.4,240,13,459.4,240.0,0
12356.0,22,3,2811.43,1591,53,937.1433333333332,530.3333333333334,0
12357.0,32,1,6207.67,2708,131,6207.67,2708.0,0
12358.0,1,2,1168.06,248,13,584.03,124.0,0
12359.0,57,4,6372.58,1622,214,1593.145,405.5,0
12360.0,51,3,2662.06,1165,105,887.3533333333334,388.3333333333333,0
12361.0,286,1,189.9,91,10,189.9,91.0,0
12362.0,2,10,5226.23,2229,201,522.6229999999999,222.9,0
12363.0,109,2,552.0,408,23,276.0,204.0,0
12364.0,7,4,1313.1,1506,70,328.275,376.5,0
12365.0,290,2,641.38,174,22,320.69,87.0,0
12367.0,3,1,168.9,173,11,168.9,173.0,0
12370.0,50,4,3545.69,2353,143,886.4225,588.25,0
12371.0,44,2,1887.96,591,63,943.98,295.5,0
12372.0,71,3,1298.04,794,34,432.68,264.6666666666667,0
12373.0,310,1,364.6,197,14,364.6,197.0,0
12374.0,24,1,742.9300000000001,342,33,742.9300000000001,342.0,0
12375.0,10,2,457.5,178,14,228.75,89.0,0
12377.0,314,2,1628.12,944,72,814.06,472.0,0
12378.0,129,1,4008.62,2529,219,4008.62,2529.0,0
12379.0,81,2,852.24,407,39,426.12,203.5,0
12380.0,21,4,2724.81,1127,77,681.2025,281.75,0
12381.0,4,5,1845.31,808,70,369.062,161.6,0
12383.0,184,5,1850.56,1532,84,370.112,306.4,0
12384.0,28,2,585.27,126,26,292.635,63.0,0
12386.0,337,2,401.9,354,10,200.95,177.0,0
12388.0,15,6,2780.66,1462,57,463.4433333333333,243.66666666666663,0
12390.0,79,1,549.84,353,32,549.84,353.0,0
12391.0,21,1,460.89,300,92,460.89,300.0,0
12393.0,71,4,1582.6,816,47,395.65,204.0,0
12394.0,63,2,1272.48,819,26,636.24,409.5,0
12395.0,18,12,3018.63,2118,91,251.5525,176.5,0
